timestamp,signal_quality,attention,meditation,delta,theta,alpha,beta,gamma,raw_data
2025-10-26 17:42:10.239,200,0,0,1572930,8585479,14483591,14024786,4259859,AA AA 20 02 C8 83 18 00 42 83 01 07 6A 00 33 73 00 54 29 00 29 AD 00 29 11 00 0A 30 00 09 5F 04 00 05 00 85
2025-10-26 17:42:11.229,200,0,0,1573080,8912988,13631830,3407896,11075611,AA AA 20 02 C8 83 18 00 D8 88 00 5C 49 00 86 87 00 D0 03 00 0B 31 00 0D 36 00 17 73 00 04 CA 04 00 05 00 D5
2025-10-26 17:42:12.219,200,0,0,1573789,13894454,26542341,11993191,16187445,AA AA 20 02 C8 83 18 03 9D D4 03 36 D4 00 6F C1 00 96 AA 00 4A 0D 00 1D 19 00 2D DE 00 08 C1 04 00 05 00 3F
2025-10-26 17:42:13.270,200,0,0,1572972,4980863,19792080,9830451,18481181,AA AA 20 02 C8 83 18 00 6C 4C 00 7F 6D 00 9F C1 00 31 94 00 0C 02 00 27 50 00 12 CA 00 0B 17 04 00 05 00 45
2025-10-26 17:42:14.245,200,0,0,1575296,5112986,29491561,10027093,15204378,AA AA 20 02 C8 83 18 09 80 4E 04 9A F7 00 41 CB 01 28 16 00 27 83 00 2E 77 00 0D 71 00 0D A1 04 00 05 00 5F
2025-10-26 17:42:15.233,200,4,0,1574732,6357277,6226145,22872219,3080217,AA AA 20 02 C8 83 18 07 4C 61 01 1D 35 00 37 2A 00 AA 73 00 65 EA 00 36 12 00 11 1D 00 08 04 04 00 05 00 3B
2025-10-26 17:42:16.224,200,0,0,1579481,6160611,24117511,8585292,22478883,AA AA 20 02 C8 83 18 19 D9 5E 00 E3 77 00 4F F9 00 B8 4E 00 2D 35 00 1F BD 00 1A 9A 00 09 B9 04 00 05 00 E5
2025-10-26 17:42:17.215,200,0,0,1575694,1638686,9044302,9764940,21954573,AA AA 20 02 C8 83 18 0B 0E 19 01 1E 79 00 3B 11 01 13 08 00 14 8D 00 38 F7 00 09 58 00 04 0B 04 00 05 00 1F
2025-10-26 17:42:18.205,200,0,0,1575091,7602650,12320797,22216730,2490373,AA AA 20 02 C8 83 18 08 B3 74 01 DA A1 00 14 1B 00 09 C8 00 0D 8B 00 0D 02 00 04 24 00 01 E6 04 00 05 00 30
2025-10-26 17:42:19.194,200,0,0,1579088,5572830,11469525,7471308,17891385,AA AA 20 02 C8 83 18 18 50 55 08 DE 82 01 2E 2D 01 A7 2F 00 8A 43 00 42 A8 00 27 69 00 12 18 04 00 05 00 C8
2025-10-26 17:42:20.228,200,0,0,1573664,190,29163763,23330959,13369380,AA AA 20 02 C8 83 18 03 20 00 00 BE C4 00 5B F9 00 98 79 00 5C EB 00 33 B0 00 19 1C 00 0B EB 04 00 05 00 32
2025-10-26 17:42:21.219,200,0,0,1576404,11272544,17957039,16580697,23658515,AA AA 20 02 C8 83 18 0D D4 AC 01 60 C4 00 8A 4E 00 25 04 00 32 F9 00 27 E5 00 0A 84 00 09 C8 04 00 05 00 48
